File name,Column,Missing Rows
2023-05-31_OV71-JHX.parquet,FCCUI_MfCathdCmprInlet,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FCCUI_HumCathdCmprInlet,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FCCUI_PAnodeStackInlet,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FreeCluster_Count,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,Free_Card_Size,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,GPS_Year,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,Satellites,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,Valid_Fix,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,Satellites2,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,Longitude,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,Latitude,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,Altitude,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,EastWest,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,NorthSouth,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,Speed_kn,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,Speed_kmh,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,Heading,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,HDOP,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,PDOP,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,VDOP,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,GPS_Day,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,GPS_Month,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,GPS_Hour,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,GPS_Minute,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,GPS_Second,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,GPS_Hundredths,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,DigIn1,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,DigIn2,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,DigIn3,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,DigIn4,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,CAN4_Bus_Load,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,CAN3_Bus_Load,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,CAN2_Bus_Load,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,CAN1_Bus_Load,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,M1_Average_Voltage,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,M1_Max_Voltage,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,M1_Min_Voltage,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,M1_Voltage_Range,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,M1_Voltage_Variance,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,M2_Average_Voltage,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,M2_Max_Voltage,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,M2_Min_Voltage,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,M2_Voltage_Range,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,M2_Voltage_Variance,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FCCU_EWPSpeedSet,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,PMP_Speed,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,M1_CH_Feedback,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,M1_Total_Voltage,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,M2_CH_Feedback,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,M2_Total_Voltage,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,PMP_Supply_Voltage,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,TargetVout,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,TargetVal,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,C_H2_NAT,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,C_H2,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,VOLUME_H2O,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,TCU_J2601_Version_Number,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,TCU_Protocol_Identifier,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FCCUI_NCooltPmpAct,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,ETC_DcVoltage,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FCCUI_UPeDcdcHiSideAct,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
2023-05-31_OV71-JHX.parquet,FCCUI_UPeDcdcLoSideAct,"[915, 187628, 188066, 236686, 237395, 237834, 237835, 239410, 240152]"
